 ,,,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,,,,,,,
,Fannie Mae Field Services Monthly Scorecard,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DE,,Overall BSO % Passing,0.714285714,1,1,0.833333333,0.928571429,1,,1,0.066666667,0.933333333,,10,10
DE,,Number of Reorders,3,0,1,3,1,1,,1,0.777777778,1,,,
DE,,Average Days to Complete Reorder,9,,,11,,,,,-,,,10,10
DE,,Number of Failed BSO,4,0,0,3,1,0,,0,-0.222222222,1,,,
DE,,% BSO Failed Interior,0.181818182,0,0,0.066666667,0,0,,0,,0,,,
DE,,% BSO Failed Exterior,0.181818182,0,0,0.133333333,0.076923077,0,,0,,0.071428571,,,
DE,,% BSO Failed Trash Removal,0.090909091,0,0,0.066666667,0,0,,0,,0,,,
DE,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
DE,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
DE,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
DE,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
DE,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
DE,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
DE,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
DE,Ongoing QC,Ongoing Services QC Completed,15,20,8,37,35,19,,11,0.333333333,48,,,
DE,,Ongoing Services Safety Rating,0.866666667,1,1,0.891891892,0.942857143,0.947368421,,,-,,,,
DE,,Ongoing Services Interior Rating,1,0.9,0.875,0.918918919,0.971428571,1,,,-,,,,
DE,,Ongoing Services Exterior Rating,0.933333333,0.9,0.75,0.702702703,0.857142857,0.789473684,,,-,,,,
DE,,Overall Ongoing Services QC Score,1,0.95,1,0.864864865,0.942857143,1,1,,-,,,20,20
DE,Seasonal,Wint Count,0,0,0,0,0,61,,,,,,,
DE,,Avg Days to Complete Wints,,,,,,9.032786885,,,,,,,
DE,,Initial Winterization % Overdue,,,,,,,,,,,,,
DE,,Grass Cut Count,,,,,,,,,,,,,
DE,,% Grass Cut Passing,0.866666667,1,0.875,1,0.971428571,1,,1,0.020833333,0.979166667,,,
DE,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,Overall Score,,100,
MD,Maryland,,,,,,,,,,,,,,
MD,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
MD,Initial Services,Initial Services Completed,98,87,81,84,83,66,,40,21.55555556,83,,,
MD,,Average Days to Complete Initial Service,11.81333333,8.236111111,9.492957746,9.76119403,8.114285714,8.475609756,8.475609756,7.509090909,-2.013557175,9.522648084,,16,20
MD,,Average Days to BSO Pass,8.027777778,9.01369863,9.128571429,14.81428571,10.08695652,10.12972973,,7.509090909,-2.013557175,9.522648084,,,
MD,,% Completed >10 Days,0.23255814,0.25,0.324074074,0.252830189,0.264705882,0.195121951,0.195121951,0.154545455,-0.113747228,0.268292683,,,
MD,,Initial Interior Maintenance % Overdue,0.485714286,0.46969697,0.520547945,0.504950495,0.388235294,0.327272727,,0.228571429,-0.179195562,0.40776699,,,
MD,,Initial Exterior Maintenance % Overdue,0.186666667,0.166666667,0.253521127,0.223880597,0.328571429,0.148148148,,0.1,-0.225301205,0.325301205,,,
MD,,Initial Trash Removal % Overdue,0.514285714,0.5,0.486111111,0.515463918,0.397590361,0.272727273,,0.2,-0.196039604,0.396039604,,,
MD,,Initial Interior Maintenance % Overdue,0.411764706,0.368421053,0.28,0.222222222,0.25,0.071428571,0.071428571,,,,,,
MD,,Initial Exterior Maintenance % Overdue,0.272727273,0.0625,0.090909091,0.333333333,0.222222222,0.153846154,0.153846154,,,,,,
MD,,Initial Trash Removal % Overdue,0.375,0.111111111,0.176470588,0.066666667,0.173913043,0.230769231,0.230769231,,,,,,
MD,Initial QC,Initial Services QC Completed,51,64,85,79,107,32,,19,-10.55555556,133,,,
MD,,Initial Safety Rating,0.901960784,0.84375,0.905882353,0.860759494,0.803738318,0.8125,,0.789473684,-0.022556391,0.812030075,,,
MD,,Initial Interior Rating,0.980392157,0.96875,0.941176471,1,0.934579439,0.90625,,0.947368421,0.022556391,0.92481203,,,
MD,,Initial Exterior Rating,0.862745098,0.84375,0.8,0.886075949,0.869158879,0.84375,,0.842105263,-0.022556391,0.864661654,,,
MD,,Overall Initial Services QC Score,0.960784314,0.96875,0.929411765,0.974683544,0.925233645,0.96875,0.96875,1,0.067669173,0.932330827,,20,20
MD,BSO,Initial BSO Volume,67,62,66,83,86,42,,21,-0.777777778,98,,,
MD,,Initial BSO % Passing,0.850746269,0.85483871,0.848484848,0.807228916,0.837209302,0.785714286,,0.80952381,-0.006802721,0.816326531,,16,20
MD,,Overall BSO % Passing,0.8625,0.845070423,0.843373494,0.794117647,0.851485149,0.78,,0.769230769,-0.065551839,0.834782609,,8,10
MD,,Number of Reorders,13,9,17,19,15,8,,5,1.222222222,17,,,
MD,,Average Days to Complete Reorder,9.6875,9.705882353,8.833333333,11.03703704,11.63157895,6.888888889,6.888888889,,-,,,10,10
MD,,Number of Failed BSO,10,9,10,16,14,9,,4,0,18,,,
MD,,% BSO Failed Interior,0.104477612,0.129032258,0.060606061,0.096385542,0.058139535,0.119047619,,0.095238095,,0.071428571,,,
MD,,% BSO Failed Exterior,0.089552239,0.112903226,0.121212121,0.096385542,0.127906977,0.095238095,,0.047619048,,0.132653061,,,
MD,,% BSO Failed Trash Removal,0.074626866,0.064516129,0.060606061,0.144578313,0.069767442,0.142857143,,0.142857143,,0.081632653,,,
MD,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
MD,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
MD,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
MD,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
MD,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
MD,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
MD,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
MD,Ongoing QC,Ongoing Services QC Completed,84,105,122,190,191,171,,82,7.111111111,337,,,
MD,,Ongoing Services Safety Rating,0.928571429,0.914285714,0.926229508,0.873684211,0.890052356,0.929824561,,,-,,,,
MD,,Ongoing Services Interior Rating,0.976190476,0.971428571,0.959016393,0.984210526,0.968586387,0.923976608,,,-,,,,
MD,,Ongoing Services Exterior Rating,0.857142857,0.933333333,0.81147541,0.857894737,0.858638743,0.824561404,,,-,,,,
MD,,Overall Ongoing Services QC Score,0.964285714,0.971428571,0.926229508,0.963157895,0.952879581,0.935672515,0.935672515,,-,,,20,20
MD,Seasonal,Wint Count,0,0,0,0,0,208,,,,,,,
MD,,Avg Days to Complete Wints,,,,,,10.50480769,,,,,,,
MD,,Initial Winterization % Overdue,,,,,,,,,,,,,
MD,,Grass Cut Count,,,,,,,,,,,,,
MD,,% Grass Cut Passing,0.726190476,0.8,0.844262295,0.673684211,0.701570681,0.631578947,,0.609756098,-0.063834407,0.673590504,,,
MD,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,Overall Score,,90,
nj,New Jersey,,,,,,,,,,,,,,
nj,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
nj,Initial Services,Initial Services Completed,169,165,136,132,174,86,,39,3.444444444,160,,,
nj,,Average Days to Complete Initial Service,14.57142857,10.26865672,10.88288288,14.20909091,10.39552239,9.078838174,9.078838174,9.314285714,-1.313412127,10.62769784,,12,20
nj,,Average Days to BSO Pass,14.76865672,10.02272727,12.07692308,13.3490566,12.27407407,9.782771536,,9.314285714,-1.313412127,10.62769784,,,
nj,,% Completed >10 Days,0.632967033,0.489316239,0.459317585,0.703910615,0.395348837,0.278008299,0.278008299,0.292857143,-0.066855087,0.35971223,,,
nj,,Initial Interior Maintenance % Overdue,0.748427673,0.730994152,0.573529412,0.801652893,0.532163743,0.373493976,,0.375,-0.11489899,0.48989899,,,
nj,,Initial Exterior Maintenance % Overdue,0.654135338,0.410447761,0.495495495,0.654545455,0.432835821,0.328571429,,0.384615385,-0.002884615,0.3875,,,
nj,,Initial Trash Removal % Overdue,0.742331288,0.705521472,0.582089552,0.803149606,0.523809524,0.352272727,,0.377358491,-0.102439489,0.47979798,,,
nj,,Initial Interior Maintenance % Overdue,0.47761194,0.392156863,0.367346939,0.555555556,0.333333333,0.222222222,0.222222222,,,,,,
nj,,Initial Exterior Maintenance % Overdue,0.341463415,0.394736842,0.25,0.465116279,0.314285714,0.133333333,0.133333333,,,,,,
nj,,Initial Trash Removal % Overdue,0.346153846,0.333333333,0.311111111,0.454545455,0.263157895,0.055555556,0.055555556,,,,,,
nj,Initial QC,Initial Services QC Completed,113,158,131,146,147,77,,48,-0.666666667,219,,,
nj,,Initial Safety Rating,0.787610619,0.873417722,0.687022901,0.801369863,0.74829932,0.714285714,,0.729166667,-0.001426941,0.730593607,,,
nj,,Initial Interior Rating,0.955752212,0.962025316,0.938931298,0.938356164,0.925170068,0.87012987,,0.833333333,-0.075342466,0.908675799,,,
nj,,Initial Exterior Rating,0.82300885,0.85443038,0.732824427,0.780821918,0.727891156,0.74025974,,0.729166667,-0.001426941,0.730593607,,,
nj,,Overall Initial Services QC Score,0.884955752,0.943037975,0.801526718,0.924657534,0.802721088,0.805194805,0.805194805,0.770833333,-0.032819635,0.803652968,,16,20
nj,BSO,Initial BSO Volume,135,149,111,107,148,73,,38,0.222222222,170,,,
nj,,Initial BSO % Passing,0.881481481,0.899328859,0.882882883,0.91588785,0.918918919,0.931506849,,0.947368421,0.035603715,0.911764706,,20,20
nj,,Overall BSO % Passing,0.88372093,0.90052356,0.883211679,0.896,0.883977901,0.931034483,,0.934782609,0.050167224,0.884615385,,10,10
